Source URL,Keyword,Avg Monthly Searches,Competition,Low CPC (USD),High CPC (USD),Sentiment Score,Sentiment Confidence,Intent,semantic_score,tfidf_score,content_match_score,relevance_bucket,volume_score,cpc_score,competition_score,sentiment_score_scaled,keyword_score,Cluster
https://familyislandfreeenergy.com/,game offer,210,LOW,89.53,586.26,4,0.5186,transactional,3.53,1.16,3.06,,0.008400000000000001,4.536258498488585,20.0,10.0,6.67,Cluster 1
https://familyislandfreeenergy.com/,offers free,720,LOW,105.89,452.82,4,0.4894,transactional,3.09,1.86,2.84,,0.028800000000000003,3.503750167648485,20.0,10.0,6.34,Cluster 4
https://familyislandfreeenergy.com/,game to get,320,LOW,17.56,308.19,4,0.5247,transactional,5.9,3.42,5.4,,0.0128,2.3846578423382065,20.0,10.0,6.26,Cluster 1
https://familyislandfreeenergy.com/,get this game,170,LOW,13.39,260.85,4,0.4538,transactional,4.62,3.42,4.38,,0.0068000000000000005,2.018358798708333,20.0,10.0,6.05,Cluster 1
https://familyislandfreeenergy.com/,game get,170,LOW,13.39,260.85,4,0.5065,transactional,4.38,3.42,4.19,,0.0068000000000000005,2.018358798708333,20.0,10.0,6.03,Cluster 1
https://familyislandfreeenergy.com/,get that game,170,LOW,13.39,260.85,4,0.475,transactional,4.11,3.42,3.97,,0.0068000000000000005,2.018358798708333,20.0,10.0,6.0,Cluster 1
https://familyislandfreeenergy.com/,get game,720,LOW,13.62,208.81,4,0.4837,transactional,3.94,3.42,3.84,,0.028800000000000003,1.6156929298765077,20.0,10.0,5.88,Cluster 1
https://familyislandfreeenergy.com/,get free game,390,LOW,12.1,180.78,4,0.4708,transactional,4.43,2.98,4.14,,0.0156,1.398807374469973,20.0,10.0,5.84,Cluster 4
https://familyislandfreeenergy.com/,free game offers,40,LOW,0.0,0.0,4,0.4952,transactional,4.95,2.13,4.39,,0.0016,0.0,20.0,10.0,5.44,Cluster 4
https://familyislandfreeenergy.com/,get free link,10,LOW,0.0,0.0,4,0.474,transactional,2.33,1.8,2.22,,0.0004,0.0,20.0,10.0,5.22,Cluster 2
